Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@juan3pueblo	"EL ASESINO @LO
@ElInformanteMX: #OMS confirma que México es el tercer país con más muertos por #COVID19 en el mundo

https://t.co/OPCC8YDkTx https://t.co/qf28oxK2je https://t.co/nzjTMhKHlV"	2020-08-08 19:34:16	es		0.0	0.0		osMa pin laden	"trabajador,muy trabajador el unico vicio q tengo!!!NOCIERTO!!
#MezquinoNeoFascista"	509411.0	39039.0	2493.0	3248.0	61.0	False		
@ContinuaCat	En casi todas las CCAA hay jornada contínua y las q no la tenían ahora con #COVID19 ya la han puesto para disminuir riesgos ya que desmasifica comedores y esponja salidas, ofreciendo además + conciliación pero en #Catalunya no.Aquí no hacen falta medidas. #Unaestrategiadiferente	2020-08-08 19:34:11	es		0.0	0.0		Plataforma Jornada Continua Catalunya	"https://t.co/I5Px19owh1

Lluitem per aconseguir una normativa justa, que ens permeti democràticament escollir el tipus de jornada escolar per als nostres fills"	879.0	743.0	381.0	340.0	3.0	False		
@jonalourido	"Si Tenes un familiar fallecido por covid19 $15000
Si Tenes adicciones $8500
IFE $10.000 
ATP 50% del salario 
Banco todas las ayuda sociales , pero muchachos la clase trabajadora y las pymes los están mirando. No se pongan un arma en la cabeza #estadopresente #seaningeniosos"	2020-08-08 19:33:48	es		0.0	0.0		El Colourido	Analista en higiene y seguridad en el trabajo y salud ocupacional. Aerolineas Argentinas y bla bla bla	919.0	109.0	237.0	58.0	1.0	False		
@LydyaJara	@AntonioMaestre @jotafdez @taburete89 @StarliteCatOcc Lo duro de esto es la gente q se pilla el COVID19 protegiéndose, de estos pena ninguna, ya son mayorcitos y están avisados. Inconscientes	2020-08-08 19:33:43	es		0.0	0.0	@AntonioMaestre	Lydia	Todos los días es mañana y siempre sale el sol.	60261.0	23239.0	2125.0	1155.0	13.0	False		
@Maarsiz	Mi mamá cree que el perro tiene covid19, OK	2020-08-08 19:33:38	es		0.0	0.0		MARIEL	♎	66592.0	2397.0	1146.0	698.0	3.0	False		
@CRISAL252	@DiazCanelB COMPATRIOTA FELICITACIONES POR SU LUCHA Y LA DEL PUEBLO CUBANO, CONTRA EL COVID19. SIGAMOS EL EJEMPLO PATRIO DE MARTÍ, FIDEL, EL CHÉ, CAMILO CIEN FUEGOS, ENTRE OTROS HÉROES DE NUESTRA AMADA CUBA. @DiazCanelB @NicolasMaduro @cubadebatecu	2020-08-08 19:33:36	es		0.0	0.0	@DiazCanelB	CRISAL25		31.0	6.0	26.0	0.0	0.0	False		
@oncti_mppct	"¡Para ser héroe o heroína no necesitas capa!

Si te recuperaste de la  #COVID19 dona tu plasma.

El Gobernador del Zulia @OmarPrietoGob ya lo hizo, ¿tu qué esperas?

#UniónYCompromisoPatriótico
#8Ago https://t.co/pOUNhR1CHP"	2020-08-08 19:33:35	es		0.0	0.0		Oncti	Cuenta oficial, adscrito @Mincyt_VE Recopila, sistematiza e interpreta datos del Sistema Nacional de Ciencia y Tecnología para formulación de políticas públicas	13243.0	853.0	634.0	39904.0	118.0	False		
@TattytaG	"@elcomerciocom Y ahora @juanseroldan el nuevo sabio en el tema COVID19 señor UD está fuera de órbita que alguien le haga aterrizar parece que también ""vive otra realidad"" Ubíquese y por piedad no abra su hocico"	2020-08-08 19:33:29	es		0.0	0.0	@elcomerciocom	Tattyta García	Ecuatoriana🇪🇨❤️ Ing.ComEx. Detesto la mentira, simpatizante de la política limpia. Amante del vino tinto🍷🤤 y de buena música 🎶 Ariana♈MANABA💪🏻❤️	150.0	285.0	70.0	12.0	0.0	False		
@CVEC_VE	"🇻🇪 🇨🇳 CVEC | Mapa Interactivo de casos y fallecidos en el Mundo por el #COVID19 desde el 01/02 hasta el 07/08 de 2020.

 https://t.co/9W8var5K6m https://t.co/oFeLLuMx3L"	2020-08-08 19:33:22	es		0.0	0.0		CVEC 🇨🇳 🇻🇪	"Centro Venezolano de Estudios sobre China / Venezuelan Center for Studies on China / 委内瑞拉中国问题研究中心.

Activa notificaciones 🔔 / Turn on notifications 🔔"	32.0	3.0	1702.0	1175.0	0.0	False		
@cesartablante	"Nos unimos al pesar que embarga a tantas familias venezolanas, cuyos familiares han fallecido en estos días producto del #Covid19 o cualquier otra causa, en medio de esta crisis inducida por la que atraviesa el país.

Paz y fortaleza en estos momentos. https://t.co/fUje97hjs8"	2020-08-08 19:33:02	es		0.0	0.0		Cesar Tablante	"Coordinador estadal de comunicaciones de @ventebarinas.
Luchando por la libertad de mi país y para transformar Barinas en tierra de gracia..."	2269.0	2745.0	841.0	459.0	3.0	False		
@RUTA_Puebla	"Atendiendo las indicaciones del Gobernador del Estado @MBarbosaMX, personal de @SaludGobPue y @RUTA_Puebla obsequian cubrebocas a usuarios del sistema y les exhortan a observar las medidas de prevención ante #Covid19
Conserva #SanaDistancia 
Si te cuidas tú, nos cuidas a todos https://t.co/JZvFby62Pi"	2020-08-08 19:33:00	es		0.0	0.0		RUTA Puebla	Cuenta Oficial de la Red Urbana de Transporte Articulado	84524.0	532.0	353.0	34907.0	105.0	True		
@carlos_roque1	"Después de los acontecido días anteriores en #Beirut el pueblo sale a las calles a mostrar su rechazo al sistema. Se rumora de un golpe de estado ""Suave"" en marcha. 
#BeirutExplosion
#libanonexplosion
#COVID19
#ResistenciaUrbanaDigital
@rinconero43 @ChalecosAmarill @ZenzontleG https://t.co/9xNfkthqTk"	2020-08-08 19:32:55	es		1.0	1.0		🅲🅰🆁🅻🅾🆂 🆁🅾🆀🆄🅴 🇳🇮	"ᴊᴏᴠᴇɴ ɴɪᴄᴀʀᴀɢÜᴇɴꜱᴇ ʀᴇᴠᴏʟᴜᴄɪᴏɴᴀʀɪᴏ, ᴏʀɢᴜʟʟᴏꜱᴀᴍᴇɴᴛᴇ ꜱᴀɴᴅɪɴɪꜱᴛᴀ ʏ ᴅᴇ ɪᴢQᴜɪᴇʀᴅᴀ. 

#ʀᴇꜱɪꜱᴛᴇɴᴄɪᴀᴜʀʙᴀɴᴀᴅɪɢɪᴛᴀʟ
#ꜰꜱʟɴ"	2311.0	2092.0	3328.0	3713.0	5.0	False		
@tvnnoticias	Equipo de Trazabilidad de Panamá Oeste recorrió casa por casa en la barriada Mar Azul de Puerto Caimito y San Bernardino, buscando pacientes con síntomas respiratorios para realizarles la prueba de #COVID19. Se entregaron mascarillas y material informativo a residentes. @MINSAPma https://t.co/vydTbAHPXW	2020-08-08 19:32:53	es		1.0	0.0		TVN Noticias	Somos un equipo que trabaja día a día para mantenerte informado del último acontecer en Panamá y el mundo.	720869.0	19122.0	1632.0	843158.0	1694.0	True		
@RadioHabanaCuba	⚫️#Azerbaiyán🇦🇿|| El director general del Hospital Número uno de Bakú, Ilham Gafar, destacó este #sábado la labor de la Brigada Médica Cubana 'Henry Reeve' en esa institución, en el enfrentamiento a la #Covid19. Ver más👉https://t.co/lIZz3HCYmL https://t.co/G4Mw4dKeiq	2020-08-08 19:32:50	es		1.0	1.0		Radio Habana Cuba	Publicación de prensa con noticias actualizadas en español, inglés, francés, portugues, esperanto y árabe, sobre el acontecer de Cuba y del Mundo.	84900.0	10687.0	986.0	21301.0	278.0	False		
@Greko02	Que les digo Tws, no aguanto mi compañero el Covid19 y hace un par de horas falleció. Lamentable. QEPD!	2020-08-08 19:32:42	es		0.0	0.0		Greko02☢️	Puebla. MEX.	17239.0	3919.0	1472.0	348.0	3.0	False		
@mickoskar	Para los que quieren un repaso de la estrategia frente al  Covid19. https://t.co/hiltIYszOg	2020-08-08 19:32:40	es		0.0	0.0		Micke Oskar G.	programador Windows C# y Android	1131.0	3382.0	478.0	370.0	1.0	False		
@laizqdiariocr	"Claves: por qué Cuba pudo reducir los casos de coronavirus

#Cuba #PandemiaLatam #COVID19
#salud

https://t.co/B0UVXh9img"	2020-08-08 19:32:32	es		2.0	1.0		La Izquierda Diario Costa Rica	Somos parte de una red internacional en ocho idiomas, con periodismo militante en quince países y más de treinta ciudades. Ahora en Costa Rica.	513.0	25.0	127.0	223.0	3.0	False		
